name,parent_name,common_point_x,common_point_y,common_point_z,common_point_parent_x,common_point_parent_y,common_point_parent_z,notes,tx,ty,tz,rotation,scale,reg_metric
S-20-29_lung_left_ROI-5.3_2.256um_bm18,S-20-29_lung_left_complete-organ_25.31um_bm05,1701.0,1522.0,10716.0,1576.0,2113.0,4482.0,,,,,,,
S-20-29_lung_left_VOI-01_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,2276.0,1300.0,8744.0,2813.0,1627.0,2858.0,,2231.694368695998,1295.102234910827,617.7005193816966,-0.0002954648749113865,0.25681663154622064,-0.24751796847234359
S-20-29_lung_left_VOI-02_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,2580.0,2312.0,8794.0,2183.0,2785.0,2870.0,,1576.402344323467,2134.7262847419897,609.0718091934594,-5.099741808108452,0.2568151282212436,-0.2093967408818291
S-20-29_lung_left_VOI-04_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,964.0,1480.0,6568.0,3367.0,1548.0,2394.0,,3152.9288389393128,1150.7204260501092,706.6007880085996,-4.699955263625036,0.2568155750985389,-0.45954008501712906
S-20-29_lung_left_VOI-05_6.5um_bm05,S-20-29_lung_left_complete-organ_25.31um_bm05,1684.0,800.0,18566.0,1668.0,1250.0,5560.0,,1257.7257673685622,1005.485226013251,789.8548884643609,-5.299835000447964,0.2568154947103331,-0.3728457801023491
004_uterus_VOI-2_2.195um_bm18,004_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
005_uterus_VOI-1_2.195um_bm18,005_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
005_uterus_VOI-2_2.195um_bm18,005_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
005_uterus_VOI-3_2.195um_bm18,005_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
005_uterus_VOI-4_2.195um_bm18,005_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
006_uterus_VOI-1_2.195um_bm18,006_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
006_uterus_VOI-2_2.195um_bm18,006_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
006_uterus_VOI-3_2.195um_bm18,006_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
006_uterus_VOI-4_2.195um_bm18,006_uterus_complete-organ_20.026um_bm18,,,,,,,,,,,,,
S45_brain_VOI-1_2.195um_bm18,S45_brain_complete-organ_20.022um_bm18,,,,,,,,,,,,,
S45_brain_VOI-01_4.236um_bm18,S45_brain_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A106_lung_VOI-1_4.388um_bm18,A106_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A106_lung_VOI-2_4.388um_bm18,A106_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A109_lung_VOI-4.1_2.0um_bm18,A109_lung_complete-organ_19.19um_bm18,,,,,,,,,,,,,
A109_lung_VOI-01b_4.14um_bm18,A109_lung_complete-organ_19.19um_bm18,,,,,,,,,,,,,
A109_lung_VOI-02b_4.14um_bm18,A109_lung_complete-organ_19.19um_bm18,,,,,,,,,,,,,
A109_lung_VOI-03_4.14um_bm18,A109_lung_complete-organ_19.19um_bm18,,,,,,,,,,,,,
A109_lung_VOI-04_4.14um_bm18,A109_lung_complete-organ_19.19um_bm18,,,,,,,,,,,,,
A129_lung_VOI-01_2.0um_bm18,A129_lung_complete-organ_20.01um_bm18,,,,,,,,,,,,,
A129_lung_VOI-02_2.0um_bm18,A129_lung_complete-organ_20.01um_bm18,,,,,,,,,,,,,
A129_lung_VOI-03_2.0um_bm18,A129_lung_complete-organ_20.01um_bm18,,,,,,,,,,,,,
A129_lung_VOI-04_2.0um_bm18,A129_lung_complete-organ_20.01um_bm18,,,,,,,,,,,,,
A129_lung_VOI-05_2.0um_bm18,A129_lung_complete-organ_20.01um_bm18,,,,,,,,,,,,,
A130_lung_VOI-1_4.236um_bm18,A130_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A130_lung_VOI-2_4.236um_bm18,A130_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A130_lung_VOI-3_4.236um_bm18,A130_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A130_lung_VOI-4_4.236um_bm18,A130_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A135_lung_VOI-01_2.0um_bm18,A135_lung_complete-organ_10.005um_bm18,3462.0,2447.0,4107.0,4580.0,4750.0,6822.0,,3831.701888472341,4357.815864911239,5998.620035998688,8.201999855437077,0.1999008244626696,-0.1331555685000709
A138_lung_VOI-1_4.388um_bm18,A138_lung_complete-organ_24.028um_bm18,,,,,,,,,,,,,
A142_lung_VOI-1_4.236um_bm18,A142_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A142_lung_VOI-2_4.236um_bm18,A142_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A142_lung_VOI-3_4.236um_bm18,A142_lung_complete-organ_20.022um_bm18,,,,,,,,,,,,,
A98_lung_right_ROI-01_4.61um_bm18,A98_lung_right_complete-organ_21.64um_bm18,2502.0,2836.0,2164.0,6154.0,5694.0,1862.0,Bad common point,,,,,,
A98_lung_right_VOI-02_4.61um_bm18,A98_lung_right_complete-organ_21.64um_bm18,2466.0,1958.0,1808.0,5602.0,5772.0,3656.0,Common point looks wrong,,,,,,
A98_lung_right_VOI-03_4.61um_bm18,A98_lung_right_complete-organ_21.64um_bm18,2486.0,1806.0,668.0,4428.0,5082.0,7704.0,Common point looks wrong,,,,,,
A98_lung_right_VOI-01_5.055um_bm18,A98_lung_right_complete-organ_21.64um_bm18,2400.0,344.0,680.0,3284.0,4692.0,3272.0,"Point okay, registration bad",,,,,,
